  20170101,   19
  20170102,    5
  20170103,    7
  20170104,   18
  20170105,   -1
  20170106,    0
  20170107,   52
  20170108,    0
  20170109,   48
  20170110,   38
  20170111,    5
  20170112,  143
  20170113,   96
  20170114,   51
  20170115,    0
  20170116,   -1
  20170117,    0
  20170118,   -1
  20170119,    0
  20170120,    0
  20170121,    0
  20170122,    0
  20170123,   -1
  20170124,    3
  20170125,    0
  20170126,    0
  20170127,    0
  20170128,   -1
  20170129,   36
  20170130,   65
  20170131,    0
