"Country or Area","GDP per capita in USD"
"Afghanistan","667.883419646451"
"Albania","4594.96620955242"
"Algeria","5495.99905835606"
"Andorra","46033.5741227986"
"Angola","6014.3239396983"
"Anguilla","21531.4276932534"
"Antigua and Barbuda","14019.0353827975"
"Argentina","13278.7938786179"
"Armenia","3861.91567067933"
"Aruba","25615.7681228049"
"Australia","61436.5431594243"
"Austria","51471.2342503221"
"Azerbaijan","7813.23615929342"
"Bahamas","22497.4497825372"
"Bahrain","24514.9796026321"
"Bangladesh","1087.9071871175"
"Barbados","15360.1171571741"
"Belarus","8010.58790912708"
"Belgium","47367.3850656175"
"Belize","4884.36856209448"
"Benin","903.45623159397"
"Bermuda","90600.3911760934"
"Bhutan","2560.52037390301"
"Bolivia (Plurinational State of)","3124.08076441174"
"Bosnia and Herzegovina","4851.76179516914"
"Botswana","7149.63580419474"
"Brazil","11729.0367772011"
"British Virgin Islands","30501.4759844516"
"Brunei Darussalam","41021.9667994711"
"Bulgaria","7876.02695224599"
"Burkina Faso","716.132437153801"
"Burundi","258.715970097545"
"Cabo Verde","3661.17589847041"
"Cambodia","1089.6700578864"
"Cameroon","1407.40354739718"
"Canada","50379.1630406635"
"Cayman Islands","61681.3942982261"
"Central African Republic","365.404443115084"
"Chad","941.585703599031"
"Chile","14566.1486430389"
"China, Hong Kong SAR","40298.1065986172"
"China, Macao Special Administrative Region","96074.5531203209"
"China, People's Republic of","7692.6042235519"
"Colombia","7918.07870983254"
"Comoros","1593.21095415734"
"Congo","3124.80393300275"
"Cook Islands","15322.6609967662"
"Costa Rica","10437.4342150194"
"Côte d'Ivoire","1541.87135050893"
"Croatia","13412.2857169612"
"Cuba","7088.07568535011"
"Curaçao","20276.9979545992"
"Cyprus","26408.1913769598"
"Czech Republic","19712.1231692093"
"Democratic People's Republic of Korea","695.892511265703"
"Democratic Republic of the Congo","479.578018246295"
"Denmark","62387.6874441971"
"Djibouti","1813.59622614428"
"Dominica","7234.25627698447"
"Dominican Republic","6147.34883383601"
"Ecuador","6432.29581291884"
"Egypt","3315.24823414757"
"El Salvador","4102.06865883852"
"Equatorial Guinea","26195.6786668087"
"Eritrea","792.843660245377"
"Estonia","19916.3831673136"
"Ethiopia","560.298121883743"
"Fiji","5042.23855100446"
"Finland","49722.6740305182"
"France","42801.1408185829"
"French Polynesia","21585.8666403282"
"Gabon","10317.4603481791"
"Gambia","440.37079368301"
"Georgia","4091.83203361691"
"Germany","48102.3731415959"
"Ghana","1396.90681557129"
"Greece","21460.2816055924"
"Greenland","43429.6860051611"
"Grenada","8312.6380195464"
"Guatemala","3666.57879979768"
"Guinea","723.062805605623"
"Guinea-Bissau","570.400681042262"
"Guyana","4028.16493966129"
"Haiti","819.277815018187"
"Honduras","2448.88050638079"
"Hungary","14085.039860354"
"Iceland","52486.0294524877"
"India","1579.7652934053"
"Indonesia","3499.58873585754"
"Iran, Islamic Republic of","5442.87476140335"
"Iraq","5465.10495062003"
"Ireland","54815.478177627"
"Israel","38890.0947313003"
"Italy","35956.8857017404"
"Jamaica","4993.19190430103"
"Japan","38240.8619309857"
"Jordan","4830.97362967091"
"Kazakhstan","12745.82343279"
"Kenya","1368.49162894375"
"Kiribati","1684.37685243542"
"Kosovo","4183.42537109282"
"Kuwait","43338.8782100301"
"Kyrgyzstan","1277.99312808087"
"Lao People's Democratic Republic","1771.96535869641"
"Latvia","15744.4940795946"
"Lebanon","8675.58866806937"
"Lesotho","1034.18952150919"
"Liberia","457.858586520261"
"Libya","7684.05629021062"
"Liechtenstein","178722.777179172"
"Lithuania","16657.3529972299"
"Luxembourg","117454.182233867"
"Madagascar","452.810401179509"
"Malawi","357.314889289776"
"Malaysia","11306.0391512557"
"Maldives","8657.09408479853"
"Mali","842.11441752076"
"Malta","25703.9317734428"
"Marshall Islands","3529.74830806458"
"Mauritania","1434.45391390535"
"Mauritius","9942.67753664487"
"Mexico","10325.6847387445"
"Micronesia (Federated States of)","3056.93744954058"
"Monaco","187649.795491031"
"Mongolia","4201.73769163272"
"Montenegro","7336.96328190342"
"Montserrat","11579.3453445593"
"Morocco","3243.06189021651"
"Mozambique","623.198181094288"
"Myanmar","1240.70909066696"
"Namibia","5349.46957718992"
"Nauru","17856.785571782"
"Nepal","700.556991553105"
"Netherlands","52148.0935003033"
"New Caledonia","39398.4553102516"
"New Zealand","44207.3869171996"
"Nicaragua","1960.49088001535"
"Niger","431.38172326364"
"Nigeria","3203.24344156614"
"Norway","96803.157630779"
"Oman","19129.660035049"
"Pakistan","1339.96512041786"
"Palau","11091.6244015737"
"Panama","12712.4313235691"
"Papua New Guinea","2975.41195443793"
"Paraguay","4712.87024057153"
"Peru","6537.62051387178"
"Philippines","2873.09114610505"
"Poland","14115.798693194"
"Portugal","22074.8173869676"
"Puerto Rico","27692.4262115162"
"Qatar","94944.0855935367"
"Republic of Korea","28184.7381763584"
"Republic of Moldova","1960.35299634926"
"Romania","10143.0107536705"
"Russian Federation","14160.0846081021"
"Rwanda","696.850622965052"
"Saint Kitts and Nevis","15429.8593652257"
"Saint Lucia","7649.15602869062"
"Saint Vincent and the Grenadines","6656.11578476794"
"Samoa","4295.92210435856"
"San Marino","58390.3518850455"
"Sao Tome and Principe","1968.1883640267"
"Saudi Arabia","24406.4733910856"
"Senegal","1043.39902657133"
"Serbia","6203.16522348021"
"Seychelles","14074.042041286"
"Sierra Leone","794.125710340696"
"Singapore","55634.604480207"
"Sint Maarten (Dutch part)","28084.7599377792"
"Slovakia","18580.7080410504"
"Slovenia","23973.1446476492"
"Solomon Islands","1924.00594212547"
"Somalia","148.785202538242"
"South Africa","6509.40358545392"
"South Sudan","1348.43217339381"
"Spain","29741.9910169103"
"Sri Lanka","3881.14563230443"
"State of Palestine","2799.52329989549"
"Sudan","1762.36723984463"
"Suriname","9736.65231707993"
"Swaziland","3539.93282324206"
"Sweden","59136.6703444117"
"Switzerland","85577.0026691707"
"Syrian Arab Republic","1816.25108786316"
"Tajikistan","1113.40804939655"
"Thailand","5969.93717123152"
"The former Yugoslav Republic of Macedonia","5474.14166506865"
"Timor-Leste","3607.09008951407"
"Togo","643.10047679945"
"Tonga","4121.67698676131"
"Trinidad and Tobago","20130.94179268"
"Tunisia","4277.02592903245"
"Turkey","10298.9518244649"
"Turkmenistan","8193.72029690444"
"Turks and Caicos Islands","23614.6741849437"
"Tuvalu","3795.98913086928"
"Uganda","749.557870323121"
"Ukraine","2966.58799137238"
"United Arab Emirates","44238.5910927415"
"United Kingdom of Great Britain and Northern Ireland","46615.4317051729"
"United Republic of Tanzania: Mainland","955.467056120809"
"United Republic of Tanzania: Zanzibar","936.248838448893"
"United States","54447.260525772"
"Uruguay","16738.0243332369"
"Uzbekistan","2138.78081974154"
"Vanuatu","3147.89743390036"
"Venezuela (Bolivarian Republic of)","11835.1562224463"
"Viet Nam","2014.69300884006"
"Yemen","1298.92276589529"
"Zambia","1725.99153041354"
"Zimbabwe","931.203923951789"

